Chỉ tiêu,Đơn vị tính,Date,Value
Dầu thô,Triệu USD,Tháng 6/2022,299.0
Dầu thô,Triệu USD,Tháng 7/2022,388.0
Dầu thô,Triệu USD,Tháng 8/2022,344.0
Dầu thô,Triệu USD,Tháng 9/2022,170.0
Dầu thô,Triệu USD,Tháng 10/2022,116.0
Dầu thô,Triệu USD,Tháng 11/2022,247.0
Dầu thô,Triệu USD,Tháng 12/2022,234.0
Dầu thô,Triệu USD,Tháng 1/2023,139.0
Dầu thô,Triệu USD,Tháng 2/2023,203.0
Dầu thô,Triệu USD,Tháng 3/2023,245.0
Dầu thô,Triệu USD,Tháng 4/2023,123.0
Dầu thô,Triệu USD,Tháng 5/2023,215.0
Dầu thô,Triệu USD,Tháng 6/2023,98.0
Dầu thô,Triệu USD,Tháng 7/2023,224.0
Dầu thô,Triệu USD,Tháng 8/2023,239.0
Dầu thô,Triệu USD,Tháng 9/2023,115.0
Dầu thô,Triệu USD,Tháng 10/2023,69.0
Dầu thô,Triệu USD,Tháng 11/2023,194.0
Dầu thô,Triệu USD,Tháng 12/2023,122.0
Dầu thô,Triệu USD,Tháng 1/2024,143.0
Dầu thô,Triệu USD,Tháng 2/2024,104.0
Dầu thô,Triệu USD,Tháng 3/2024,270.0
Dầu thô,Triệu USD,Tháng 4/2024,313.0
Dầu thô,Triệu USD,Tháng 5/2024,238.0
Dầu thô,Triệu USD,Tháng 6/2024,35.0
Dầu thô,Triệu USD,Tháng 7/2024,51.0
Dầu thô,Triệu USD,Tháng 8/2024,48.0
