Unnamed: 0,Thoi gian,Chi so do la My,Chi so gia tieu dung,Chi so gia vang,Chi so dau
0,1/2013,-0.0799999999999983,1.25,-1.730000000000004,-0.0
1,1/2014,-0.060000000000002274,0.6899999999999977,-1.8199999999999932,-17.349999999999994
2,1/2015,0.23000000000000398,-0.20000000000000284,0.5499999999999972,-26.569999999999993
3,1/2016,0.18000000000000682,-0.0,-0.23000000000000398,-55.25
4,1/2017,-0.06999999999999318,0.45999999999999375,-0.18000000000000682,-12.39
